.cn	Q2
五卷书	Q1814
五味子（植物）	Q1815
五四运动（1919年青年学生组织的爱国运动）	Q1817
五四青年节	Q1818
五声音阶	Q1819
五大洋	Q1822
五官（面部特征）	Q1825
五尾穆王	Q1826
五帝	Q1829
五帝（中国上古杰出的五位部落首领）	Q1830
五指山（海南省五指山山脉）	Q1835
五指山（海南省五指山市）	Q1836
五方上帝	Q1837
五族共和	Q1838
五星出东方利中国	Q1839
五星级酒店	Q1841
五星聚奎	Q1842
五月天（s.h.e演唱的歌曲）	Q1843
五朝古都	Q1844
五木宏	Q1845
五权分立	Q1846
五权宪法	Q1847
五禽戏（中国传统健身方法）	Q1849
五经博士	Q1851
五经异义	Q1852
五经（儒家典籍）	Q1853
五胡乱华	Q1855
五行学说	Q1856
五行生克（哲学理论）	Q1857
五行相克	Q1858
五行相生	Q1859
五行说	Q1860
五院	Q1864
五院四系	Q1865
井冈山会师（中国革命历史事件）	Q1866
井冈山革命根据地	Q1867
井冈山（江西省吉安市代管县级市）	Q1868
井冈山（江西省吉安市境内山脉）	Q1869
亚伦·卡特	Q1873
亚历克西斯	Q1874
亚历山大·冯·洪堡	Q1875
亚历山大·谢尔盖耶维奇·普希金	Q1876
亚历山大大帝（马其顿国王）	Q1877
亚历山大帝国	Q1878
亚原子	Q1879
亚太	Q1880
亚太经济合作组织	Q1882
亚当·斯密	Q1883
亚拉巴马州	Q1885
亚洲	Q1886
亚洲四小龙	Q1888
亚洲基础设施投资银行	Q1889
亚洲大陆	Q1890
亚洲新人奖	Q1891
亚洲棒球锦标赛	Q1892
亚洲相互协作与信任措施会议	Q1893
亚洲运动会	Q1894
亚热带	Q1895
亚热带季风性湿润气候	Q1897
亚热带常绿阔叶林	Q1898
亚热带气候	Q1899
亚热带湿润季风气候	Q1900
亚特兰大（美国城市）	Q1901
亚特（户外用品品牌）	Q1902
亚瑟·叔本华	Q1903
亚瑟·斯坦利·爱丁顿	Q1904
亚美尼亚	Q1906
亚裔美国人	Q1907
亚里士多德（古希腊著名思想家）	Q1908
亚高山针叶林	Q1909
亚龙湾	Q1911
交子	Q1912
交易成本	Q1917
交通运输	Q1924
亦失哈	Q1928
产业组织理论（经济学分支学科）	Q1935
产品激活	Q1937
产科	Q1940
产程	Q1941
亨利四世（波旁王朝国王）	Q1944
京九铁路	Q1945
京剧演员	Q1946
京剧（中国戏剧艺术（国粹的典型代表））	Q1947
京师大学堂	Q1950
京广高速铁路	Q1951
京族	Q1954
京杭大运河	Q1955
京沪高速铁路	Q1959
京津冀协同发展	Q1960
京都奖	Q1964
亲和数	Q1965
亲属关系	Q1966
亲属制度	Q1967
亲族	Q1968
亲民党	Q1969
人与人之间	Q1973
人事心理学	Q1976
人再囧途之泰囧	Q1979
人力资本（名词解释）	Q1980
人参果（茄科果实）	Q1982
人口基数	Q1985
人口增长率	Q1986
人口密度	Q1987
人口政策	Q1990
人口普查	Q1992
人口结构	Q1994
人口统计	Q1995
人口统计学	Q1996
人口老龄化	Q1997
人口走私	Q1999
人因工程学（2006年机械工业出版社出版图书）	Q2001
人工智能技术（科学技术）	Q2005
人工智能（美国2001年史蒂文·斯皮尔伯格执导电影）	Q2006
人工智能（计算机科学的一个分支）	Q2007
人工神经网络	Q2009
人才市场	Q2013
人才（词语概念）	Q2015
人文主义	Q2017
人文地理学（地理学分支学科）	Q2018
人文学科	Q2019
人文旅游资源	Q2020
人文景观	Q2021
人文环境	Q2022
人本主义	Q2024
人本主义心理学	Q2025
人本主义治疗	Q2026
人机互动	Q2027
人权宣言	Q2028
人权（普遍的人类权利）	Q2029
人格心理学（心理学的分支之一）	Q2030
人格理论	Q2031
人格（心理学术语）	Q2032
人民出版社	Q2035
人民币债券	Q2036
人民币汇率	Q2037
人民币（中国人民银行发行的货币）	Q2038
人民日报	Q2039
人民的意志	Q2040
人民网	Q2041
人的行为	Q2048
人类历史	Q2049
人类学（学科）	Q2051
人类情感	Q2052
人类文明	Q2053
人类智能	Q2054
人类潜能	Q2055
人类环境	Q2056
人类的进化（进化论历史）	Q2057
人类社会	Q2058
人类祖先	Q2059
人类行为	Q2060
人类进化	Q2062
人类（《魔兽世界》种族）	Q2063
人类（人的总称）	Q2064
人脑	Q2065
人造卫星（环绕地球在空间轨道上运行的无人航天器）	Q2068
人造地球卫星	Q2069
人际互动	Q2072
亿万（2016年美国电视剧）	Q2074
仆固怀恩	Q2079
今文尚书	Q2080
今文经学	Q2081
从严治党	Q2085
仙乐飘飘（1995年郭富城陈慧琳主演，张之亮执导电影）	Q2089
仙女星系	Q2090
代价（日本2016小栗旬主演网络剧）	Q2093
代数几何	Q2094
代数数	Q2096
代数整数	Q2099
代数结构（数学概念）	Q2101
代数（数学分支）	Q2102
代码	Q2103
令史	Q2106
以物易物	Q2111
以纯	Q2112
以经济建设为中心	Q2113
以色列	Q2114
以赛亚·伯林	Q2116
仰韶文化遗址	Q2120
仲雍	Q2124
价值取向	Q2125
价值理论	Q2126
价值观	Q2127
任建宇	Q2129
企业家精神（企业家精神阐述）	Q2133
企业的社会责任（词语解析）	Q2135
企鹅（动物名称）	Q2137
伊万·彼得罗维奇·巴甫洛夫	Q2138
伊利汗国	Q2139
伊壁鸠鲁学派	Q2143
伊尹	Q2144
伊底帕斯王	Q2147
伊扎克·帕尔曼	Q2148
伊拉克	Q2149
伊拉斯谟（荷兰中世纪哲学家）	Q2150
伊斯兰合作组织	Q2152
伊斯兰国家	Q2153
伊斯兰教	Q2154
伊斯兰黄金时代	Q2155
伊斯梅尔·卡达莱	Q2156
伊斯雷尔·爱泼斯坦	Q2157
伊春（黑龙江省下辖市）	Q2158
伊春（黑龙江省地级市）	Q2159
伊曼努尔·康德	Q2160
伊曼努尔·康德（德国作家和古典哲学创始人）	Q2161
伊朗	Q2162
伊本·巴图塔	Q2163
伊本·白图泰	Q2164
伊本·西拿	Q2165
伊本·赫勒敦	Q2166
伊河	Q2167
伊犁哈萨克自治州	Q2168
伊甸园（英国歌手莎拉·布莱曼专辑）	Q2169
伍朝枢	Q2175
伏牛山（中国河南省西南部山脉）	Q2179
伏生（文人）	Q2180
伏羲（中华上古人文祖神）	Q2183
休闲娱乐	Q2185
优先权	Q2189
会所	Q2194
会稽郡	Q2195
伟人	Q2200
伟大（奥斯卡最佳短片）	Q2201
伟烈亚力	Q2202
传奇（2012年沈燕林执导电视剧）	Q2203
传感器网络	Q2205
传播学（社会科学学科）	Q2206
传染病（人与动物之间相互传播的一类疾病）	Q2208
传统	Q2209
传统医学	Q2213
传统文化	Q2214
传统权威	Q2216
传统艺术	Q2217
伤寒	Q2223
伤寒学派	Q2224
伤寒杂病论	Q2225
伤寒论	Q2226
伦德施泰特	Q2227
伦敦大学	Q2228
伦敦政治经济学院	Q2229
伦敦（加拿大城市）	Q2232
伦敦（英国首都）	Q2233
伦理学（哲学分支学科）	Q2235
伪满洲国（二战期间日本帝国主义扶持的傀儡政权）	Q2238
伪科学	Q2239
伯努利数	Q2241
伯尔尼	Q2242
伯恩哈德	Q2243
伯牙吾台·燕铁木儿	Q2244
伯特兰·罗素	Q2245
伯纳德·罗斯	Q2246
伯纳德（法国足球运动员）	Q2247
伯罗奔尼撒战争史	Q2248
伯罗奔尼撒战争（古代战争）	Q2249
伴星（恒星）	Q2250
伽利略·伽利雷	Q2253
伽马射线暴	Q2254
但丁密码	Q2255
但愿人长久（邓丽君演唱歌曲）	Q2256
佐佐木氏	Q2261
体会（内衣品牌）	Q2262
体内平衡	Q2263
体制内	Q2265
体制外	Q2266
体液	Q2267
体系文件	Q2268
体育事业	Q2269
体育俱乐部	Q2270
体育竞赛	Q2272
体裁	Q2274
体适能	Q2275
何光岳	Q2276
何启	Q2278
何子渊	Q2280
何孟雄	Q2281
何宽（加权国际副总经理、发明导师）	Q2282
何彦（传媒教师）	Q2284
何进（东汉末年灵帝时外戚、大将军）	Q2287
何键	Q2288
何香凝	Q2289
佘山	Q2290
余云岫	Q2291
余志（中山大学教授）	Q2292
余无言	Q2294
余既成	Q2295
余秋雨	Q2296
余震（惊悚电影）	Q2297
佛历	Q2299
佛山（广东省省辖市）	Q2302
佛教	Q2303
佛陀（佛教创始人）	Q2305
佛香阁	Q2306
作家（从事文学创作有成就的人）	Q2307
作曲	Q2309
作者（名词释义）	Q2310
作词人	Q2311
佟大为	Q2312
你好（王啸坤歌曲）	Q2314
你好，之华	Q2315
佳木斯（黑龙江省地级市）	Q2319
使用者	Q2320
侗族	Q2323
供给和需求	Q2325
供给弹性系数	Q2326
供给曲线	Q2327
供给面学派	Q2328
依七高速	Q2329
侨务委员会	Q2331
侯孝贤（台湾电影人）	Q2334
侯官县	Q2336
侵蚀沟	Q2338
便利商店（商店类型）	Q2339
便利店（位于居民区附近的实体店或网上虚拟店）	Q2340
促织（聊斋志异中的篇章）	Q2341
俄克拉何马州	Q2343
俄国	Q2344
俄罗斯人（俄罗斯的主体民族）	Q2346
俄罗斯卢布	Q2347
俄罗斯帝国	Q2348
俄罗斯海军	Q2350
俄罗斯苏维埃联邦社会主义共和国	Q2353
俄罗斯（俄罗斯联邦）	Q2354
保加利亚	Q2356
保安族	Q2358
保密协议	Q2361
保护环境	Q2363
保时捷911	Q2365
保罗·斯科尔斯	Q2368
保罗·狄拉克	Q2369
保罗·田立克	Q2370
保罗·罗伯逊	Q2371
保路同志会	Q2372
保镖（2011年siddique执导电影）	Q2374
保险成本	Q2376
俞樾（清代著名学者）	Q2377
信仰主义	Q2379
信天翁（一种鸟）	Q2383
信息不对称	Q2385
信息学	Q2386
信息技术产业	Q2387
信息技术（用于管理和处理信息所采用各种技术总称）	Q2388
信托	Q2389
信阳（河南省地级市）	Q2393
修女艾达	Q2394
修持	Q2396
俾斯麦号战列舰	Q2399
倪匡	Q2404
倪映典	Q2406
倪福德	Q2407
倭马亚王朝	Q2408
值域（数学名词，函数经典定义）	Q2410
偃师（河南省洛阳市下辖县级市）	Q2411
假如我是真的（王童执导电影）	Q2412
偏序关系	Q2416
停止呼吸（韦斯·克雷文执导电影）	Q2418
停滞性通货膨胀	Q2419
健壮性	Q2421
健康保险	Q2422
健身	Q2425
健身俱乐部	Q2426
偷袭珍珠港（第二次世界大战中，日本偷袭美国珍珠港事件）	Q2428
傅山	Q2430
傅雷（著名翻译家、文艺评论家）	Q2431
傣族	Q2432
傣族泼水节	Q2433
僧璨	Q2436
儒家思想	Q2439
儒家文化	Q2440
儒家经典	Q2441
儒家（信奉孔子学说的哲学学派）	Q2442
儒教	Q2443
儒释道	Q2445
儿玉源太郎	Q2446
儿科专家	Q2447
儿童心理学家	Q2448
元凤政变	Q2450
元和中兴	Q2451
元嘉（南朝宋文帝刘义隆年号）	Q2453
元大都	Q2454
元宵节（中国传统节日）	Q2455
元封（汉武帝刘彻年号）	Q2456
元帅（军衔）	Q2457
元旦（世界节日）	Q2459
元曲	Q2460
元朝	Q2461
元朝（中国历史朝代）	Q2462
元末明初	Q2464
元杂剧	Q2465
元素之歌	Q2467
元素周期表（化学元素列表）	Q2468
元谋人	Q2471
兄弟姐妹（美国2006年ken	Q2472
充分就业	Q2474
先秦	Q2476
先秦文学	Q2477
先秦诸子	Q2478
先进文化	Q2480
光伏产业	Q2484
光子	Q2488
光孝寺（广东省广州市光孝寺）	Q2489
光学（物理学分支）	Q2491
光明乳业股份有限公司	Q2492
光明日报（中共中央机关报）	Q2493
光明顶	Q2494
光武中兴	Q2495
光球	Q2496
光电效应	Q2497
光碟	Q2498
光能	Q2501
光谱仪	Q2502
光谱学	Q2503
光速（物理学名词）	Q2504
克利夫兰骑士队	Q2506
克利斯登·奈加特	Q2507
克利福德·格尔茨	Q2508
克劳德·斯特莱夫	Q2509
克劳德·昂利·圣西门	Q2510
克劳德·艾尔伍德·香农	Q2511
克洛诺斯（希腊神话众神之王）	Q2513
克罗·霍根（《游戏王5d's》主要角色之一）	Q2514
克罗地亚	Q2515
克罗地亚人	Q2516
克里斯·保罗	Q2519
克里斯托弗·哥伦布（意大利的著名航海家）	Q2520
克里斯蒂安·沃尔夫	Q2521
克里米亚半岛	Q2523
克里米亚战争	Q2524
克雷格·大卫	Q2525
免疫调节	Q2526
免签证	Q2527
兖州区	Q2530
党内民主（政治术语）	Q2531
党参（桔梗科党参属植物）	Q2533
党的基本路线	Q2538
党的纲领	Q2540
党项族	Q2542
入侵意大利	Q2545
入党申请	Q2548
全国哀悼日	Q2553
全国男子篮球联赛	Q2554
全国科学技术名词审定委员会	Q2555
全国重点文物保护单位	Q2556
全家（日本企业）	Q2557
全序关系	Q2558
全新世	Q2560
全民健康保险	Q2563
全民健身	Q2564
全民健身日	Q2565
全民健身计划纲要	Q2566
全球化（人类社会发展的现象）	Q2570
全球定位系统	Q2571
全球气候变暖	Q2573
全真	Q2577
全真道（宗教）	Q2578
全纯函数	Q2579
全美达	Q2580
全职	Q2581
全超导托卡马克核聚变实验装置	Q2584
全面依法治国	Q2586
全面建成小康社会	Q2587
全面抗战	Q2588
八一南昌起义（1927年周恩来领导的武装起义）	Q2591
八一建军节	Q2592
八二宪法	Q2595
八元数	Q2596
八六学潮	Q2597
八国联军（1972年张彻导演合拍电影）	Q2598
八国集团	Q2600
八大名窑	Q2601
八大菜系	Q2602
八大行星	Q2603
八字	Q2604
八宝山革命公墓	Q2605
八旗汉军	Q2610
八法（名词）	Q2613
八纲	Q2617
八纲辨证	Q2618
八纵八横	Q2619
八路军（国民革命军第八路军）	Q2620
八闽	Q2621
公乘阳庆	Q2622
公众	Q2624
公众人物	Q2625
公元529年	Q2629
公元前1046年	Q2632
公元前130年	Q2633
公元前202年	Q2635
公元前207年	Q2636
公元前221年	Q2637
公元前300年	Q2640
公元前486年	Q2641
公元前770年	Q2643
公元前841年	Q2644
公元（纪年体系）	Q2645
公共利益	Q2648
公共外交	Q2651
公共工程	Q2653
公共广播	Q2654
公共广播电台	Q2655
公共政策	Q2656
公共物品	Q2660
公共经济学（公共部门经济学）	Q2663
公共财政	Q2665
公共选择	Q2666
公共选择学派	Q2667
公共选择理论	Q2668
公务员（行使国家行政权力、执行国家公务的人员）	Q2671
公募	Q2673
公司	Q2674
公司职员	Q2677
公地放领	Q2678
公孙度	Q2679
公孙康	Q2680
公孙恭	Q2681
公孙渊（三国时辽东地方割据军阀）	Q2682
公孙述	Q2684
公孙龙（名家人物公孙龙（字子秉））	Q2685
公平价值	Q2687
公平正义	Q2688
公式（数学术语与其它意义的词汇）	Q2691
公民基本权利	Q2693
公民投票	Q2694
公民权利和政治权利国际公约	Q2695
公民权利（法学术语）	Q2696
公民社会	Q2697
公理	Q2701
公理系统	Q2703
公立学校	Q2706
公营住宅	Q2709
六十进制	Q2714
六合丛谈	Q2715
六安	Q2718
六小龄童	Q2719
六榕寺（广州市古刹）	Q2722
六盘水	Q2725
六艺	Q2731
六道仙人	Q2732
六镇起义	Q2734
兰多夫·莫里斯	Q2736
兰屿	Q2737
兰州中川国际机场	Q2738
兰州大学	Q2739
兰州（甘肃省省会）	Q2743
兰芳大统制共和国	Q2747
兰英（西南大学教教育学部教授）	Q2748
兰迪·史密斯	Q2749
兰陵王入阵曲（歌舞戏）	Q2752
共产主义	Q2754
共产主义国家	Q2755
共产主义社会	Q2758
共产党	Q2759
共产党宣言（图书名称）	Q2761
共价键	Q2763
共和制	Q2767
共和（共和制）	Q2768
共振	Q2769
共青城（江西省共青城市）	Q2773
关于中华人民共和国国都、纪年、国歌、国旗的决议	Q2777
关公像	Q2779
关内道	Q2781
关岛	Q2783
关税	Q2786
关羽（汉末三国时期蜀汉名将、中国武圣）	Q2787
兴义万峰林机场	Q2793
兴义民族师范学院	Q2794
兴城古城	Q2799
兵马俑（秦始皇兵马俑）	Q2804
养生保健	Q2807
冀鲁官话	Q2810
内丹	Q2812
内存	Q2817
内存地址	Q2818
内存管理	Q2819
内战（漫威漫画公司作品）	Q2820
内核版本	Q2821
内核错误	Q2822
内河航道	Q2824
内海	Q2826
内环线	Q2828
内田良平	Q2829
内画	Q2830
内省法	Q2831
内科（医学专业）	Q2833
内能（热力学及化学）	Q2834
内蒙古	Q2836
内阁首辅	Q2842
内隐态度	Q2844
内隐记忆	Q2845
冈山区	Q2846
冈村宁次	Q2847
冉魏	Q2848
再吻我一次	Q2850
再生能源	Q2851
军乐团	Q2855
军事家	Q2859
军事思想	Q2860
军事战术	Q2862
军事战略	Q2863
军事科学	Q2865
军事科技（工程技术分支）	Q2866
军事装备学	Q2867
军人（名词）	Q2871
军医（词语概念）	Q2873
军机处	Q2880
军衔	Q2885
军阀割据	Q2887
军队指挥学	Q2890
军队政治工作	Q2891
农业	Q2892
农业保险	Q2894
农业化学	Q2895
农业学大寨	Q2897
农业户口	Q2899
农业现代化	Q2904
农业生态系统	Q2905
农业用地	Q2906
农业社会	Q2907
农历（中国传统历法）	Q2915
农学	Q2916
农村人口	Q2919
农村包围城市（毛泽东等中国共产党人创立的革命道路）	Q2920
农村行政管理	Q2923
农林牧渔	Q2924
农民家庭	Q2925
农耕文化	Q2929
农药	Q2930
冥古宙	Q2932
冥王星（太阳系中的一个天体）	Q2933
冬季战争	Q2935
冬虫夏草（麦角菌科真菌冬虫夏草菌（草药））	Q2939
