	Q1
中华人民共和国政府和大不列颠及北爱尔兰联合王国政府关于香港问题的联合声明	Q1082
中华人民共和国教育	Q1083
中华人民共和国教育法	Q1084
中华人民共和国教育部	Q1085
中华人民共和国文化和旅游部	Q1086
中华人民共和国最高人民法院	Q1087
中华人民共和国武装力量	Q1088
中华人民共和国民政部	Q1089
中华人民共和国民法通则	Q1090
中华人民共和国海关	Q1091
中华人民共和国消费者权益保护法	Q1092
中华人民共和国澳门特别行政区基本法	Q1093
中华人民共和国环境保护法	Q1094
中华人民共和国科技	Q1095
中华人民共和国第一届全国人民代表大会	Q1096
中华人民共和国第九届运动会	Q1097
中华人民共和国第五届全国人民代表大会	Q1098
中华人民共和国第六届全国人民代表大会	Q1099
中华人民共和国第十二届全国人民代表大会	Q1100
中华人民共和国著作权法（法律）	Q1101
中华人民共和国行政区划	Q1102
中华人民共和国香港特别行政区基本法	Q1103
中华全国体育总会	Q1104
中华共和国	Q1105
中华帝国（袁世凯建立的君主立宪制政权）	Q1106
中华教育界	Q1107
中华文化	Q1108
中华文化复兴运动	Q1109
中华文化（文化）	Q1110
中华文明起源	Q1111
中华曙猿	Q1112
中华民国	Q1113
中华民国临时参议院	Q1114
中华民国临时大总统	Q1115
中华民国临时政府	Q1116
中华民国临时政府组织大纲	Q1117
中华民国临时约法	Q1118
中华民国全国运动会	Q1119
中华民国公报	Q1120
中华民国史（中华书局版）	Q1121
中华民国国军	Q1122
中华民国国旗	Q1123
中华民国国旗歌	Q1124
中华民国国民政府	Q1125
中华民国大总统	Q1126
中华民国宪法	Q1127
中华民国宪法（中华民国宪法）	Q1128
中华民国护照	Q1129
中华民国政府	Q1130
中华民国教育部	Q1131
中华民国海军	Q1132
中华民国空军	Q1133
中华民国训政时期约法	Q1134
中华民国陕甘宁边区政府	Q1135
中华民国非常大总统	Q1136
中华民族（中央电视台节目）	Q1137
中华法系	Q1138
中华爱国同心会	Q1139
中华电信股份有限公司	Q1140
中华电视公司	Q1141
中华白海豚	Q1142
中华经济研究院	Q1143
中华统一促进党	Q1144
中华职业棒球大联盟	Q1145
中华航空股份有限公司	Q1146
中华苏维埃共和国	Q1147
中华苏维埃共和国临时中央政府	Q1148
中华诗词	Q1149
中华诗词学会	Q1150
中华造船厂	Q1151
中华邮政股份有限公司	Q1152
中华革命党	Q1153
中华鲟	Q1154
中华（汽车品牌）	Q1155
中华（香烟品牌）	Q1156
中南半岛	Q1157
中南地区	Q1158
中南大学	Q1159
中南局（中共中央东南局）	Q1160
中南政法学院	Q1161
中南海（香烟品牌名称）	Q1162
中印边界	Q1163
中原大战（中国社会出版社出版图书）	Q1164
中原文化	Q1165
中原王朝	Q1166
中原经济区（1985年9月成立的中原经济区）	Q1167
中原（中国文明发源地）	Q1168
中古时期	Q1169
中国100	Q1170
中国2010年上海世界博览会	Q1171
中国gdp	Q1172
中国与世界	Q1173
中国东北地区	Q1174
中国东南地区	Q1175
中国东部	Q1176
中国中医科学院	Q1177
中国中车股份有限公司	Q1178
中国中部经济区	Q1179
中国丹霞	Q1180
中国主要语言研究机构	Q1181
中国互联网	Q1182
中国互联网新闻中心	Q1183
中国五大淡水湖	Q1184
中国人口	Q1185
中国人民大学	Q1186
中国人民大学新闻学院	Q1187
中国人民志愿军	Q1188
中国人民政治协商会议	Q1189
中国人民政治协商会议主席	Q1190
中国人民政治协商会议全国委员会主席	Q1191
中国人民政治协商会议全国委员会副主席	Q1192
中国人民政治协商会议全国委员会委员	Q1193
中国人民政治协商会议共同纲领	Q1194
中国人民政治协商会议办公厅	Q1195
中国人民政治协商会议第一届全国委员会	Q1196
中国人民政治协商会议组织法	Q1197
中国人民武装警察部队	Q1198
中国人民解放军	Q1199
中国人民解放军总参谋部	Q1200
中国人民解放军战略支援部队	Q1201
中国人民解放军火箭军	Q1202
中国人民解放军陆军	Q1203
中国人民解放军陆海空三军仪仗队	Q1204
中国人民邮政	Q1205
中国人民银行上海总部	Q1206
中国人的信仰（2010年团结出版社出版图书）	Q1207
中国人的精神	Q1208
中国人（刘德华演唱的歌曲）	Q1209
中国人（地域归属概念）	Q1210
中国伊斯兰教	Q1211
中国传统建筑	Q1212
中国传统文化（民族文明，风俗，精神的总称）	Q1213
中国传统舞蹈	Q1214
中国传统艺术	Q1215
中国传统节日	Q1216
中国传统音乐	Q1217
中国传说时代	Q1218
中国体育（中国体育概况）	Q1219
中国佛教	Q1220
中国佛教四大名山	Q1221
中国作家（作家分类）	Q1222
中国入世十周年高层论坛	Q1223
中国共产主义青年团	Q1224
中国共产主义青年团中央委员会	Q1225
中国共产党	Q1226
中国共产党上海市委员会	Q1227
中国共产党中央书记处	Q1228
中国共产党中央全面依法治国委员会	Q1229
中国共产党中央全面深化改革委员会	Q1230
中国共产党中央军事委员会	Q1231
中国共产党中央军事委员会主席	Q1232
中国共产党中央国家安全委员会	Q1233
中国共产党中央委员会	Q1234
中国共产党中央委员会主席	Q1235
中国共产党中央委员会办公厅	Q1236
中国共产党中央委员会宣传部	Q1237
中国共产党中央委员会总书记	Q1238
中国共产党中央委员会组织部	Q1239
中国共产党中央局	Q1240
中国共产党中央政治局	Q1241
中国共产党中央政治局委员	Q1242
中国共产党中央政治局常务委员会	Q1243
中国共产党中央政治局常务委员会委员	Q1244
中国共产党中央政法委员会	Q1245
中国共产党中央纪律检查委员会	Q1246
中国共产党中央纪律检查委员会书记	Q1247
中国共产党中央财经委员会	Q1248
中国共产党中央顾问委员会	Q1249
中国共产党党员	Q1250
中国共产党党徽	Q1251
中国共产党党旗	Q1252
中国共产党全国代表大会	Q1253
中国共产党历史（中国共产党发展历程）	Q1254
中国共产党建党日	Q1255
中国共产党机关报	Q1256
中国共产党章程	Q1257
中国共产党章程（中国共产党章程）	Q1258
中国共产党第一次全国代表大会	Q1259
中国共产党第七次全国代表大会	Q1260
中国共产党第三次全国代表大会	Q1261
中国共产党第九次全国代表大会	Q1262
中国共产党第五次全国代表大会	Q1263
中国共产党第八次全国代表大会	Q1264
中国共产党第六届中央委员会第四次全体会议	Q1265
中国共产党第十一届中央委员会	Q1266
中国共产党第十一届中央委员会第三次全体会议	Q1267
中国共产党第十一届中央委员会第六次全体会议	Q1268
中国共产党第十三次全国代表大会	Q1269
中国共产党第十九次全国代表大会（党的十九大）	Q1270
中国共产党第十八届中央委员会	Q1271
中国共产党第十八届中央委员会第一次全体会议	Q1272
中国共产党第十八次全国代表大会	Q1273
中国共产党第十六届中央委员会	Q1274
中国共产党第十六次全国代表大会	Q1275
中国共产党领导的多党合作和政治协商制度	Q1276
中国兵器工业集团公司	Q1277
中国兵器工业集团有限公司	Q1278
中国内地	Q1279
中国内地会	Q1280
中国军队	Q1281
中国农业	Q1282
中国农工民主党	Q1283
中国农民银行	Q1284
中国出版	Q1285
中国出版社	Q1286
中国刑事警察学院	Q1287
中国制造2025	Q1288
中国剪纸	Q1289
中国力量（nhk出品的纪录片特辑）	Q1290
中国医学	Q1291
中国医科大学	Q1292
中国十大避暑名山	Q1293
中国南极中山站	Q1294
中国卫星	Q1295
中国历史事件	Q1296
中国历史年表（中国简史年表）	Q1297
中国历史文化名村	Q1298
中国历史文化名镇名村	Q1299
中国历史朝代	Q1300
中国历史（中国从云南元谋人到二十一世纪之间的历史）	Q1301
中国古代哲学（中国古代的哲学）	Q1302
中国古代皇帝制度	Q1303
中国古代音乐	Q1304
中国古典文学	Q1305
中国古都	Q1306
中国史前文化	Q1307
中国史学史（金毓黻创作历史作品）	Q1308
中国同盟会	Q1309
中国哲学	Q1310
中国哲学史大纲	Q1311
中国商用飞机有限责任公司	Q1312
中国四大书院	Q1313
中国四大湖泊	Q1314
中国四大盆地	Q1315
中国四大药都	Q1316
中国国内生产总值	Q1317
中国国医节	Q1318
中国国家博物馆	Q1319
中国国家高速公路网	Q1320
中国国歌	Q1321
中国国民党	Q1322
中国国民党中央执行委员会	Q1323
中国国民党党主席	Q1324
中国国民党第一次全国代表大会	Q1325
中国国民党革命委员会	Q1326
中国国际广播电台	Q1327
中国国际电视台	Q1328
中国国际航空股份有限公司	Q1329
中国土地资源	Q1330
中国地名委员会	Q1331
中国地理	Q1332
中国城（曼谷中国城）	Q1333
中国外交政策	Q1334
中国外汇储备	Q1335
中国大学	Q1336
中国大陆	Q1337
中国好声音之为你转身	Q1338
中国姓氏	Q1339
中国威胁论	Q1340
中国宗教（宗教文化）	Q1341
中国宝武钢铁集团有限公司	Q1342
中国少年先锋队	Q1343
中国工业百强县	Q1344
中国工农红军第一方面军	Q1345
中国工商银行	Q1346
中国工程院	Q1347
中国帆船	Q1348
中国建筑（中国古代建筑大型图录）	Q1349
中国建筑（建筑风格）	Q1350
中国建设银行	Q1351
中国戏剧（以戏曲和话剧为主的中国传统艺术）	Q1352
中国戏曲	Q1353
中国探月工程	Q1354
中国改革开放	Q1355
中国政府网	Q1356
中国政治体制改革	Q1357
中国政治体系	Q1358
中国政法大学	Q1359
中国教育电视台	Q1360
中国散文	Q1361
中国文化（中国的文化）	Q1362
中国文学史（中国从古至今文学发展过程）	Q1363
中国文学（中华民族的文学）	Q1364
中国新石器时代（中国历史发展时代）	Q1365
中国旅游日	Q1366
中国日报（中国日报）	Q1367
中国时报	Q1368
中国服饰（中国历代服饰）	Q1369
中国未识别民族	Q1370
中国核心利益	Q1371
中国梦（中国梦网站）	Q1372
中国梦（习近平提出的指导思想）	Q1373
中国森林资源	Q1374
中国武术	Q1375
中国民主促进会	Q1376
中国民主同盟	Q1377
中国民主建国会	Q1378
中国民兵	Q1379
中国民族主义	Q1380
中国民族音乐	Q1381
中国民族（政治及国族概念）	Q1382
中国民用航空局	Q1383
中国民间宗教	Q1384
中国派遣军	Q1385
中国海军护航编队	Q1386
中国游客	Q1387
中国特色	Q1388
中国特色社会主义	Q1389
中国特色社会主义新时代	Q1390
中国特色社会主义法律体系	Q1391
中国现代史	Q1392
中国现代建筑	Q1393
中国现当代文学	Q1394
中国电子信息产业集团有限公司	Q1395
中国电影	Q1396
中国电影集团公司	Q1397
中国电视事业股份有限公司	Q1398
中国男子排球联赛	Q1399
中国男子篮球职业联赛	Q1400
中国留学生	Q1401
中国的传统	Q1402
中国的社会主义改造	Q1403
中国的科学与文明	Q1404
中国皇帝（中国最高统治者）	Q1405
中国石油天然气股份有限公司	Q1406
中国矿产资源	Q1407
中国社会	Q1408
中国社会科学院近代史研究所	Q1409
中国神话（中国的神话传说）	Q1410
中国科学史	Q1411
中国科学技术大学	Q1412
中国科学院	Q1413
中国科学院北京天文台	Q1414
中国科学院声学研究所	Q1415
中国科学院大学	Q1416
中国科学院软件研究所	Q1417
中国穆斯林	Q1418
中国空间站	Q1419
中国精神（民族精神和时代精神）	Q1420
中国红十字会	Q1421
中国红十字基金会会标	Q1422
中国经济体制改革	Q1423
中国经济通讯社	Q1424
中国经济（特定名词）	Q1425
中国联合网络通信集团有限公司	Q1426
中国自杀率	Q1427
中国致公党	Q1428
中国舞蹈荷花奖	Q1429
中国航天（中国航天事业）	Q1430
中国航空工业	Q1431
中国航空工业集团有限公司	Q1432
中国艺术节	Q1433
中国茶文化	Q1434
中国茶（茶文化）	Q1435
中国菜（菜式）	Q1436
中国西北地区	Q1437
中国西南部	Q1438
中国话（s.h.e演唱的歌曲）	Q1439
中国象棋（棋类游戏）	Q1440
中国货币	Q1441
中国货运航空	Q1442
中国足球协会甲级联赛	Q1443
中国足球协会超级联赛（中国大陆职业足球联赛）	Q1444
中国足球甲级联赛	Q1445
中国载人航天工程	Q1446
中国近代史（中国历史）	Q1447
中国进出口商品交易会	Q1448
中国远征军（抗日战争时期中国入缅对日作战部队）	Q1449
中国邮政储蓄银行	Q1450
中国酒文化（中国酒的社会现象）	Q1451
中国铁路哈尔滨局集团有限公司	Q1452
中国铁路武汉局集团有限公司	Q1453
中国铁路（中国轨道交通）	Q1454
中国银联	Q1455
中国银行	Q1456
中国银行（中国国有银行）	Q1457
中国陶器	Q1458
中国革命史	Q1459
中国音乐著作权协会	Q1460
中国音乐（音乐文化）	Q1461
中国饮食文化（中国的饮食文化）	Q1462
中国高等教育（国家教育部主办杂志）	Q1463
中国高等院校1952年院系调整	Q1464
中国高速铁路	Q1465
中国（上海）自由贸易试验区	Q1466
中国（世界四大文明古国之一）	Q1467
中国（海南）自由贸易试验区	Q1468
中国（福建）自由贸易试验区	Q1469
中土（指代中国或中原王朝）	Q1470
中坚份子（歌唱组合、品牌）	Q1471
中塔领土争端	Q1472
中天新闻台	Q1473
中央之国	Q1474
中央人民广播电台	Q1475
中央人民政府委员会	Q1476
中央信托局	Q1477
中央公园（重庆中央公园）	Q1478
中央军	Q1479
中央军民融合发展委员会	Q1480
中央委员	Q1481
中央山脉（台湾山脉）	Q1482
中央执行委员会	Q1483
中央政府	Q1484
中央机构编制委员会办公室	Q1485
中央电视台新闻频道	Q1486
中央电视台综合频道	Q1487
中央电视台（中国中央电视台）	Q1488
中央精神文明建设指导委员会	Q1489
中央财政	Q1490
中央通讯社（台湾中央通讯社）	Q1491
中央银行	Q1492
中央集权制度	Q1493
中央革命根据地	Q1494
中子数	Q1495
中子星	Q1496
中学为体，西学为用	Q1497
中学教育	Q1498
中宗	Q1499
中小学教育	Q1500
中山公园（上海市长宁区中山公园）	Q1501
中山北路（南京市鼓楼区中山北路）	Q1502
中山国（战国时期诸侯国）	Q1503
中山大学（中国广东省高校）	Q1504
中山寨遗址	Q1505
中山王	Q1506
中山纪念堂（广州市中山纪念堂）	Q1507
中山舰事件	Q1508
中山舰（国民革命军著名炮舰）	Q1509
中山装	Q1510
中山路（江西省南昌市中山路）	Q1511
中山陵	Q1512
中山高速公路	Q1513
中山（广东省地级市）	Q1514
中川镇	Q1515
中常侍	Q1516
中庸之道	Q1517
中式按摩	Q1518
中微子	Q1519
中微子天文学	Q1520
中性原子	Q1521
中性白血球	Q1522
中文房间	Q1523
中文流行音乐	Q1524
中文维基百科	Q1525
中断处理	Q1526
中日关系（中国与日本之间的国家关系）	Q1527
中日撞船事件	Q1528
中日甲午战争	Q1529
中朝准地台	Q1530
中欧关系（中国和欧洲联盟的外交）	Q1531
中正式步骑枪	Q1532
中正纪念堂	Q1533
中沙群岛	Q1534
中法战争	Q1535
中法新约	Q1536
中波	Q1537
中洋脊	Q1538
中洲礁	Q1539
中温带	Q1540
中环（香港政治及商业中心）	Q1541
中秋节	Q1542
中立法案	Q1543
中等专业学校	Q1544
中等职业教育	Q1545
中纬度	Q1546
中统（元世祖年号）	Q1547
中继器	Q1548
中美共同防御条约	Q1549
中美关系	Q1550
中美建交	Q1551
中美贸易争端	Q1552
中芯国际	Q1553
中苏	Q1554
中苏互不侵犯条约	Q1555
中苏交恶	Q1556
中苏友好同盟条约	Q1557
中药	Q1558
中药学（中医学科）	Q1559
中药材（中国传统中医的地道药材）	Q1560
中西医结合	Q1561
中西部高校基础能力建设工程	Q1562
中西部高校综合实力提升工程	Q1563
中超联赛冠军	Q1564
中途岛战役（美日战役）	Q1565
中途岛（jack smight导演美国电影）	Q1566
中部地区	Q1567
中部平原	Q1568
中锋（篮球运动比赛队员的位置名称）	Q1569
中间地带（政治地理概念）	Q1570
中间路线	Q1571
中非（中非共和国）	Q1572
中风	Q1573
丰子恺	Q1574
丰宁满族自治县	Q1575
丰年祭	Q1576
丰泽园（饭庄）	Q1577
丰田红杉	Q1578
丰臣秀吉（日本历史人物）	Q1579
串旗	Q1580
临夏回族自治州	Q1581
